beer_beerid,beer_style,styles,beer_name
28293,13,American IPA,Big Red Ale
28350,13,American IPA,5 Day IPA
28560,13,American IPA,IPA
28565,13,American IPA,Sea Hag IPA
28644,13,American IPA,Big Buck IPA
28675,13,American IPA,Metolius Cutthroat IPA
28726,13,American IPA,IPA
28747,13,American IPA,Sun Up Trooper IPA
28792,13,American IPA,Route 113 India Pale Ale
28793,13,American IPA,Simcoe Single Hop IPA
29128,13,American IPA,Hardway IPA
29469,13,American IPA,Brass Rabbit India Pale Ale
29510,13,American IPA,House IPA
29619,13,American IPA,Sculpin India Pale Ale
29639,13,American IPA,Dry-Hopped IPA
29663,13,American IPA,Broken Halo IPA
29665,13,American IPA,Hopopolis
29669,13,American IPA,Hopwallop IPA
29688,13,American IPA,Cascade Single Hop IPA
29704,13,American IPA,Old Yeller IPA
29770,13,American IPA,India Pale Ale
29834,13,American IPA,Newport IPA
30027,13,American IPA,Railhouse IPA
30031,13,American IPA,Minerial King IPA
30068,13,American IPA,Incinerator Pale Ale
30131,13,American IPA,Earth Dog IPA
30214,13,American IPA,Big Tex IPA
30222,13,American IPA,Redemption IPA
30241,13,American IPA,Gems India Pale Ale
30245,13,American IPA,Sum Nug
30246,13,American IPA,McGilligans IPA
30319,13,American IPA,India Pale Ale
30390,13,American IPA,India Pale Ale
30420,13,American IPA,Sierra Nevada Torpedo Extra IPA
30438,13,American IPA,Amarillo IPA
30442,13,American IPA,Challenger IPA
30462,13,American IPA,Warrior IPA
30499,13,American IPA,Fiesta I.P.A.
30619,13,American IPA,Hop Attack
30719,13,American IPA,BarrelHouse Boss Cox Double Dark IPA
30794,13,American IPA,Mill Street Tank House Special Brewer's Reserve
30961,13,American IPA,Integrity IPA
30994,13,American IPA,Honest Lawyer IPA
31094,13,American IPA,Wet Mountain IPA
31140,13,American IPA,India Pale Ale (LB No. 24)
31149,13,American IPA,Schooner's IPA
31151,13,American IPA,Portside IPA
31217,13,American IPA,HaloX
31250,13,American IPA,Apricot IPA
31277,13,American IPA,Hop Knot IPA
31302,13,American IPA,IPA
31307,13,American IPA,Mainline IPA
31347,13,American IPA,IPA
31393,13,American IPA,MacTarnahan's India Pale Ale
31413,13,American IPA,El Torero Organic IPA
31419,13,American IPA,River Back Jack IPA
31488,13,American IPA,Chelsea Hop Angel IPA
31552,13,American IPA,Rye IPA
31623,13,American IPA,Imperial Pale Ale
31628,13,American IPA,Hop Chronic IPA
31634,13,American IPA,Willimantic Millennium IPA
31671,13,American IPA,Isekadoya Triple Hop
31679,13,American IPA,Raasted India Pale Ale
31695,13,American IPA,Hop Lava
31724,13,American IPA,Hip Hop IPA
31768,13,American IPA,Bray's Red IPA
31777,13,American IPA,Old Deceitful 120
31851,13,American IPA,Hop Diggidy IPA
31914,13,American IPA,Engine House IPA
31963,13,American IPA,House Brand IPA
31992,13,American IPA,La Route Des Indes
32041,13,American IPA,Squatters IPA
32051,13,American IPA,Big Horn Big Red IPA
32174,13,American IPA,Vishnu's Vice IPA
32220,13,American IPA,Great Eastern India Pale Ale
32226,13,American IPA,Big Rock Bourbon IPA
32286,13,American IPA,Nelson
32321,13,American IPA,Hippee IPA
32346,13,American IPA,Dominator IPA
32353,13,American IPA,Little Scrapper IPA
32371,13,American IPA,Whiskey River IPA
32380,13,American IPA,UCIPA
32425,13,American IPA,Big Red IPA
32432,13,American IPA,Total Domination IPA
32444,13,American IPA,IPA
32491,13,American IPA,Flagship IPA
32493,13,American IPA,Shark Spit IPA
32513,13,American IPA,Rough House IPA
32584,13,American IPA,Hop Head Ale
32630,13,American IPA,Armoury Ale
32637,13,American IPA,I.P.A
32663,13,American IPA,Lazy Boy IPA
32676,13,American IPA,One Hop Wonder IPA
32701,13,American IPA,Hop Dog
32741,13,American IPA,Brown's NY Harvest IPA
32932,13,American IPA,Kiss The Lips IPA
32995,13,American IPA,Mad Hatter IPA
33014,13,American IPA,Triple 7 India Pale Ale
33215,13,American IPA,Columbus IPA
33240,13,American IPA,420 India Pale Ale
33243,13,American IPA,Wipeout I.P.A.
33257,13,American IPA,Chai.P.A
33305,13,American IPA,Palisades IPA
33306,13,American IPA,Nugget IPA
33307,13,American IPA,Simcoe IPA
33369,13,American IPA,Owens IPA
33452,13,American IPA,Unlucky IPA
